economy_code,economy,year,population_1jan,Real GDP PPP 2021 USD,output_to_kstock,delta,Gross national savings,9th Outlook
18_CT,Chinese Taipei,2026,23061.95,1888935.101928,,,,1707648.2877001632
18_CT,Chinese Taipei,2027,22960.635,1945043.706066,,,,1741856.954770969
18_CT,Chinese Taipei,2028,22856.043,1992677.69361,,,,1782313.3394323816
18_CT,Chinese Taipei,2029,22751.547,2039940.217851,,,,1823092.1412658156
18_CT,Chinese Taipei,2030,22645.122,2089334.0196,,,,1864278.7284897969
18_CT,Chinese Taipei,2031,22534.778,2133774.9871340003,,,39.814,1905180.316305835
18_CT,Chinese Taipei,2032,22419.604,,,,,1942020.879472504
18_CT,Chinese Taipei,2033,22301.478,,,,,1977200.3660724536
18_CT,Chinese Taipei,2034,22179.706,,,,,2011516.2272690125
18_CT,Chinese Taipei,2035,22050.948,,,,,2045741.006993392
18_CT,Chinese Taipei,2036,21918.496,,,,,2079971.183097712
18_CT,Chinese Taipei,2037,21781.407,,,,,2114216.8255746323
18_CT,Chinese Taipei,2038,21637.366,,,,,2148556.661709464
18_CT,Chinese Taipei,2039,21489.819,,,,,2182083.774432959
